,title,url_anime,date_published_anime,score_anime,rank_anime,members_anime,anime_exists,url,date_published,score,rank,members
117,Shuumatsu Nani Shitemasu ka? Isogashii desu ka? Sukutte Moratte Ii desu ka?,,,,,,no,https://myanimelist.net/manga/81211/Shuumatsu_Nani_Shitemasu_ka_Isogashii_desu_ka_Sukutte_Moratte_Ii_desu_ka,2014-01 - 2016-01,8.6,1,625703
118,Shigatsu wa Kimi no Uso,,,,,,no,https://myanimelist.net/manga/37707/Shigatsu_wa_Kimi_no_Uso,2011-01 - 2015-01,8.6,2,580020
119,Shinseiki Evangelion,,,,,,no,https://myanimelist.net/manga/698/Shinseiki_Evangelion,1994-01 - 2013-01,8.59,3,113017
120,Kusuriya no Hitorigoto,,,,,,no,https://myanimelist.net/manga/107562/Kusuriya_no_Hitorigoto,2017-01,8.59,4,61619
121,Skip to Loafer,,,,,,no,https://myanimelist.net/manga/118289/Skip_to_Loafer,2018-01,8.59,5,36775
122,Umineko no Naku Koro ni,,,,,,no,https://myanimelist.net/manga/66517/Umineko_no_Naku_Koro_ni,2009-01 - 2010-01,8.59,1,106500
123,Wind Breaker,,,,,,no,https://myanimelist.net/manga/103237/Wind_Breaker,2013-01,8.58,2,51189
124,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,,,,,,no,https://myanimelist.net/manga/3006/JoJo_no_Kimyou_na_Bouken_Part_4__Diamond_wa_Kudakenai,1992-01 - 1995-01,8.58,4,102865
125,Umineko no Naku Koro ni Chiru,,,,,,no,https://myanimelist.net/manga/79993/Umineko_no_Naku_Koro_ni_Chiru,2012-01 - 2018-01,8.57,3,183821
126,Medalist,,,,,,no,https://myanimelist.net/manga/129621/Medalist,2020-01,8.57,4,11389
127,Rurouni Kenshin: Meiji Kenkaku Romantan,,,,,,no,https://myanimelist.net/manga/22/Rurouni_Kenshin__Meiji_Kenkaku_Romantan,1994-01 - 1999-01,8.56,5,997934
128,Watashitachi no Shiawase na Jikan,,,,,,no,https://myanimelist.net/manga/11734/Watashitachi_no_Shiawase_na_Jikan,2008-01 - 2008-01,8.51,1,115681
129,Ouran Koukou Host Club,,,,,,no,https://myanimelist.net/manga/30/Ouran_Koukou_Host_Club,2002-01 - 2010-01,8.5,2,127599
130,Spirit Circle,,,,,,no,https://myanimelist.net/manga/38071/Spirit_Circle,2012-01 - 2016-01,8.5,3,644749
131,Tensei shitara Slime Datta Ken,,,,,,no,https://myanimelist.net/manga/87610/Tensei_shitara_Slime_Datta_Ken,2014-01,8.5,4,39097
132,Yubisaki to Renren,,,,,,no,https://myanimelist.net/manga/121504/Yubisaki_to_Renren,2019-01,8.5,5,46700
133,Vanitas no Karte,,,,,,no,https://myanimelist.net/manga/93753/Vanitas_no_Karte,2015-01,8.49,2,65399
134,"Ohayou, Ibarahime",,,,,,no,https://myanimelist.net/manga/88639/Ohayou_Ibarahime,2014-01 - 2017-01,8.49,3,735451
135,Cross Game,,,,,,no,https://myanimelist.net/manga/1183/Cross_Game,2005-01 - 2010-01,8.49,4,21312
136,Chikan Otoko,,,,,,no,https://myanimelist.net/manga/46282/Chikan_Otoko,2004-01 - 2004-01,8.49,5,447303
137,19 Tian,,,,,,no,https://myanimelist.net/manga/116312/19_Tian,2018-01,8.49,1,8821
138,Shimeji Simulation,,,,,,no,https://myanimelist.net/manga/117851/Shimeji_Simulation,2019-01 - 2023-01,8.49,2,318071
139,Kimi to Tsuzuru Utakata,,,,,,no,https://myanimelist.net/manga/128365/Kimi_to_Tsuzuru_Utakata,2020-01 - 2024-01,8.49,3,413912
140,The Greatest Estate Developer,,,,,,no,https://myanimelist.net/manga/147272/The_Greatest_Estate_Developer,2021-01,8.49,4,20369
141,Tomodachi Game,,,,,,no,https://myanimelist.net/manga/62795/Tomodachi_Game,2013-01,8.44,1,72945
142,Shiori Experience: Jimi na Watashi to Hen na Ojisan,,,,,,no,https://myanimelist.net/manga/87397/Shiori_Experience__Jimi_na_Watashi_to_Hen_na_Ojisan,2013-01,8.44,2,18921
143,Dragon Ball,,,,,,no,https://myanimelist.net/manga/42/Dragon_Ball,1984-01 - 1995-01,8.43,3,161184
144,Mugen no Juunin,,,,,,no,https://myanimelist.net/manga/658/Mugen_no_Juunin,1993-01 - 2012-01,8.43,4,281590
